annual_income,existing_debt,loan_amount,payment_history_score,employment_years,age,debt_to_income,creditworthy
58941.0,23195.0,10274.0,41.4,2.5,33.0,0.57,0
47511.0,19397.0,13988.0,57.1,5.9,33.0,0.7,0
61658.0,12477.0,9453.0,63.8,6.1,18.0,0.36,1
77415.0,6825.0,12844.0,98.3,7.9,34.0,0.25,1
45785.0,17586.0,1745.0,78.3,0.5,46.0,0.42,1
45786.0,15148.0,16493.0,50.0,8.4,24.0,0.69,1
78426.0,19162.0,15008.0,77.3,0.0,50.0,0.44,0
63814.0,17081.0,9280.0,46.8,3.5,43.0,0.41,0
41549.0,20396.0,19615.0,86.2,4.0,30.0,0.96,1
59766.0,7718.0,21563.0,62.9,8.5,36.0,0.49,1
41658.0,22539.0,3747.0,68.6,6.1,56.0,0.63,1
41617.0,13581.0,9661.0,89.9,0.4,46.0,0.56,1
54355.0,28602.0,9616.0,50.7,2.1,38.0,0.7,0
15561.0,6486.0,8421.0,49.0,6.8,35.0,0.96,0
18951.0,25888.0,20806.0,61.2,5.7,39.0,2.46,0
39879.0,13583.0,13643.0,85.6,3.7,32.0,0.68,0
31769.0,6789.0,13148.0,47.2,4.1,18.0,0.63,1
55656.0,8129.0,1000.0,27.5,8.8,60.0,0.16,1
33656.0,9437.0,19448.0,63.2,3.9,40.0,0.86,0
24579.0,15393.0,6325.0,78.3,5.6,42.0,0.88,1
76382.0,16183.0,15420.0,88.0,14.7,37.0,0.41,1
45936.0,7410.0,16942.0,63.1,0.3,30.0,0.53,0
51216.0,11805.0,24525.0,63.8,0.0,36.0,0.71,1
24355.0,29138.0,5838.0,87.3,9.1,20.0,1.44,1
40201.0,25820.0,1000.0,42.0,3.3,63.0,0.67,0
51997.0,15491.0,16287.0,64.2,4.7,24.0,0.61,0
29282.0,12304.0,27604.0,72.9,2.9,27.0,1.36,0
56763.0,12960.0,23673.0,76.7,5.0,33.0,0.65,0
39189.0,16908.0,16468.0,62.4,12.4,52.0,0.85,0
44750.0,3818.0,11559.0,70.5,9.2,38.0,0.34,1
39169.0,9941.0,20650.0,32.7,9.4,24.0,0.78,0
83341.0,0.0,8185.0,60.1,0.3,52.0,0.1,0
49757.0,15194.0,18335.0,76.8,1.4,46.0,0.67,0
30961.0,17178.0,18538.0,55.3,0.0,44.0,1.15,0
64806.0,8135.0,22421.0,70.9,2.8,46.0,0.47,0
28025.0,24592.0,34318.0,76.7,9.8,64.0,2.1,1
53760.0,2194.0,17747.0,64.9,8.1,62.0,0.37,1
15000.0,285.0,11437.0,72.6,5.1,30.0,0.78,0
26093.0,13796.0,14821.0,55.6,5.9,56.0,1.1,0
53544.0,20377.0,2616.0,66.9,3.2,42.0,0.43,1
63292.0,25471.0,10137.0,79.2,6.8,43.0,0.56,1
53085.0,8329.0,12135.0,72.4,9.1,19.0,0.39,1
47918.0,20629.0,11331.0,61.2,0.0,36.0,0.67,1
44580.0,11692.0,16066.0,73.4,7.2,29.0,0.62,1
23387.0,10619.0,9243.0,80.7,9.7,47.0,0.85,1
37043.0,19069.0,22847.0,39.3,4.3,50.0,1.13,0
41709.0,17219.0,15001.0,87.4,8.8,18.0,0.77,1
69028.0,0.0,14935.0,65.0,17.3,38.0,0.22,1
56185.0,23812.0,12705.0,76.4,5.6,50.0,0.65,0
18265.0,23041.0,16086.0,88.0,7.6,36.0,2.14,0
55834.0,6995.0,20776.0,49.4,3.0,46.0,0.5,1
43069.0,15166.0,8930.0,59.4,6.7,42.0,0.56,1
37815.0,15952.0,10393.0,65.7,7.8,42.0,0.7,0
61010.0,14085.0,12874.0,58.2,6.8,35.0,0.44,1
68558.0,7598.0,5579.0,96.0,1.9,25.0,0.19,1
66763.0,6627.0,9265.0,57.1,6.8,26.0,0.24,1
34894.0,11796.0,11666.0,61.7,11.8,46.0,0.67,1
44434.0,21382.0,21121.0,73.1,7.8,38.0,0.96,1
55963.0,16349.0,16838.0,52.0,9.8,36.0,0.59,1
67560.0,9035.0,16355.0,64.1,5.1,33.0,0.38,1
41375.0,18174.0,20956.0,74.8,9.0,35.0,0.95,1
46658.0,0.0,14038.0,65.0,7.1,50.0,0.3,1
30086.0,21190.0,17733.0,68.6,2.2,34.0,1.29,0
28468.0,0.0,14277.0,62.1,7.3,23.0,0.5,1
64625.0,9100.0,16858.0,47.3,2.0,46.0,0.4,0
74412.0,3043.0,10921.0,74.8,3.5,36.0,0.19,1
48704.0,1643.0,1000.0,96.3,6.8,38.0,0.05,1
68064.0,21287.0,14060.0,70.3,7.2,56.0,0.52,1
56509.0,8258.0,24959.0,73.4,1.2,38.0,0.59,1
38388.0,14772.0,21484.0,80.4,10.2,41.0,0.94,1
56505.0,11625.0,21758.0,51.0,8.3,25.0,0.59,1
77685.0,15816.0,23653.0,95.5,3.2,36.0,0.51,1
49355.0,12615.0,15621.0,73.0,0.0,45.0,0.57,0
78164.0,1736.0,16381.0,94.5,5.4,21.0,0.23,1
15000.0,19970.0,10676.0,59.0,4.2,40.0,2.04,0
64794.0,8050.0,12787.0,97.3,6.5,39.0,0.32,1
51567.0,0.0,19310.0,81.6,4.5,38.0,0.37,1
44618.0,8575.0,23427.0,78.3,0.0,49.0,0.72,0
51652.0,24006.0,14024.0,73.5,4.4,42.0,0.74,0
